# Rime user dictionary
#@/db_name	clover.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	14785
#@/user_id	rime_fcitx_xiao_he
a 	啊	c=86 d=3.48375 t=14785
fen bian lve 	分辨略	c=1 d=1.12942e-20 t=14785
fen bie shi 	分别是	c=1 d=1 t=11368
fen bu qing 	分不清	c=1 d=5.17556e-17 t=14785
fen chu 	分出	c=1 d=4.8132e-16 t=14785
fen dai 	分代	c=3 d=0.105445 t=13580
fen dai kuang jia 	分代框架	c=1 d=1 t=13581
fen dai la ji hui shou 	分代垃圾回收	c=1 d=1 t=12314
fen duan 	分段	c=0 d=0.1 t=13667
fen duan suo 	分段锁	c=1 d=1 t=13668
fen ge 	分割	c=2 d=1.68724e-07 t=14785
fen ge 	分隔	c=6 d=0.250326 t=14785
fen ge fu 	分隔符	c=1 d=0.00096344 t=14785
fen gei 	分给	c=0 d=3.33903e-09 t=14785
fen gei ta 	分给她	c=1 d=3.35577e-08 t=14785
fen kai 	分开	c=1 d=7.79199e-07 t=14785
fen lei 	分类	c=7 d=0.00941924 t=14785
fen li 	分离	c=0 d=4.48779e-17 t=14785
fen li chu qu 	分离出去	c=1 d=4.51029e-16 t=14785
fen pei 	分配	c=5 d=0.000376347 t=14785
fen pei dai jiao lao shi 	分配带教老师	c=1 d=1 t=11304
fen ping 	分屏	c=1 d=2.6612e-15 t=14785
fen qu 	分区	c=1 d=1 t=12341
fen shu 	分数	c=3 d=0.0304894 t=14785
fen wei 	分为	c=3 d=1.01142 t=12366
fen xi 	分析	c=1 d=1 t=11539
fen xi hou 	分析后	c=1 d=1 t=11502
fen zhi 	分支	c=3 d=4.12277e-10 t=14785
fen zhong 	分钟	c=2 d=2.89642e-13 t=14785
fen zu 	分组	c=4 d=1.00285 t=13155
feng 	封	c=3 d=7.44545e-19 t=14785
feng 	峯	c=1 d=2.00126e-15 t=14785
feng 	风	c=1 d=9.26294e-12 t=14785
feng ding 	封顶	c=2 d=0.0187424 t=14785
feng fu 	丰富	c=2 d=1.16472 t=10307
feng tian 	丰田	c=1 d=1.47137e-14 t=14785
feng zhuang 	封装	c=1 d=4.21338e-09 t=14785
fou 	否	c=2 d=0.00135244 t=14785
fou ze 	否则	c=1 d=1 t=12873
fu 	父	c=2 d=0.0820848 t=14785
fu bei 	父辈	c=2 d=1.97531 t=14289
fu hao 	符号	c=6 d=0.0578244 t=14785
fu he 	符合	c=2 d=0.0113408 t=14785
fu jian 	福建	c=2 d=1 t=13176
fu jian 	附件	c=1 d=5.3905e-19 t=14785
fu jian xia zai 	附件下载	c=1 d=5.18895e-18 t=14785
fu jin 	附近	c=1 d=8.51102e-16 t=14785
fu lei 	父类	c=7 d=3.96828e-14 t=14785
fu liu cheng 	父流程	c=1 d=2.67499e-17 t=14785
fu mu 	父母	c=0 d=1.36858e-16 t=14785
fu ping 	副屏	c=1 d=1.3931e-18 t=14785
fu shi 	复式	c=5 d=6.20797e-15 t=14785
fu shi 	辅食	c=1 d=4.20394e-12 t=14785
fu shou fu 	付首付	c=1 d=2.03711e-18 t=14785
fu shu 	负数	c=1 d=1.12573e-11 t=14785
fu wu 	服务	c=4 d=2.65698e-09 t=14785
fu wu duan 	服务端	c=1 d=1.7404e-19 t=14785
fu wu qi 	服务器	c=10 d=0.000299662 t=14785
fu xi 	复习	c=2 d=1.16627 t=14381
fu xi ne 	复习呢	c=1 d=1 t=14352
fu yin jian 	复印件	c=1 d=0.0023344 t=14785
fu za 	复杂	c=4 d=3.89127e-06 t=14785
fu ze 	负责	c=4 d=1.21133e-07 t=14785
fu ze ren 	负责人	c=1 d=0.941765 t=14785
fu zhi 	复制	c=7 d=4.35758e-05 t=14785
fu zhi 	赋值	c=3 d=1.19009e-14 t=14785
fu zhi suan fa 	复制算法	c=6 d=1.7909 t=12963
fu zhu 	辅助	c=1 d=1 t=9867
fu zhu ma 	辅助码	c=13 d=1.01031 t=11167
g 	个	c=0 d=0.00182243 t=14785
g ch t 	个藏他	c=4 d=0.0176562 t=14785
g qun zhu 	个群主	c=1 d=2.86749e-11 t=14785
gai 	改	c=8 d=7.80205e-06 t=14785
gai 	该	c=13 d=0.176211 t=14785
gai bian 	改变	c=1 d=1.00075 t=13961
gai can shu 	该参数	c=1 d=1 t=13073
gai ce lve 	该策略	c=1 d=1 t=14164
gai cheng 	改成	c=10 d=6.75132e-06 t=14785
gai da pei 	该搭配	c=2 d=1.99501 t=12574
gai de 	改的	c=0 d=9.59778e-19 t=14785
gai de ma 	改的吗	c=1 d=9.64589e-18 t=14785
gai diao 	改掉	c=0 d=4.91979e-10 t=14785
gai diao le 	改掉了	c=1 d=4.94445e-09 t=14785
gai dui xiang 	该对象	c=5 d=0.0694593 t=14785
gai dui xiang xiang guan de 	该对象相关的	c=1 d=1 t=13974
gai fang fa 	该方法	c=1 d=1 t=14157
gai ge 	改个	c=1 d=3.36732e-19 t=14785
gai guo 	改过	c=1 d=9.45489e-18 t=14785
gai hao 	改好	c=0 d=8.92884e-22 t=14785
gai hao le ma 	改好了吗	c=1 d=8.9736e-21 t=14785
gai le 	改了	c=4 d=7.66654e-06 t=14785
gai le ma 	改了吗	c=1 d=1.71245e-05 t=14785
gai nian 	概念	c=0 d=0.1 t=14404
gai pei zhi 	该配置	c=1 d=1 t=12521
gai qian 	改签	c=1 d=1 t=10575
gai shang 	该上	c=0 d=7.49229e-13 t=14785
gai shang xue 	该上学	c=1 d=2.78994e-12 t=14785
gai tian 	改天	c=1 d=0.00225411 t=14785
gai wei 	改为	c=2 d=0.0720785 t=14785
gai xi tong 	该系统	c=1 d=1 t=11290
gai xiang mu 	该项目	c=2 d=1.5627 t=11473
gai yong 	改用	c=2 d=1.02761e-15 t=14785
gai zao 	改造	c=1 d=1.38497e-08 t=14785
gai zhi 	该值	c=6 d=3.63988 t=13543
gai zhou qi 	该周期	c=2 d=1.97531 t=14729
gan 	杆	c=1 d=1 t=10449
gan er 	杆儿	c=1 d=1 t=10452
gan jin 	赶紧	c=2 d=4.00753e-07 t=14785
gan jue 	感觉	c=7 d=0.160414 t=14785
gan jue dao 	感觉到	c=1 d=0.000141247 t=14785
gan mao 	感冒	c=1 d=2.43679e-08 t=14785
gan ran 	感染	c=1 d=2.53667e-10 t=14785
gan sha 	干啥	c=4 d=9.90446e-05 t=14785
gang 	刚	c=1 d=9.78001e-05 t=14785
gang bi ye 	刚毕业	c=1 d=2.3939e-05 t=14785
gang cai 	刚才	c=3 d=0.157237 t=14785
gang ce guo 	刚侧过	c=1 d=0.000982903 t=14785
gang gang hao 	刚刚好	c=1 d=5.57296e-05 t=14785
gang hao 	刚好	c=2 d=0.120671 t=14785
gang kai shi 	刚开始	c=1 d=3.51142e-12 t=14785
gang mai guo 	刚买过	c=1 d=2.22895e-18 t=14785
gang qin 	钢琴	c=2 d=1.39775e-20 t=14785
gang shang xian 	刚上线	c=1 d=6.08825e-16 t=14785
gang ting 	岗亭	c=1 d=1 t=11612
gang wei 	岗位	c=13 d=1.93345 t=14785
gao 	搞	c=2 d=0.571209 t=14785
gao 	高	c=4 d=0.106398 t=14785
gao bu 	高不	c=0 d=1.11241e-19 t=14785
gao bu ding 	搞不定	c=0 d=1.67449e-07 t=14785
gao bu qing chu 	搞不清楚	c=4 d=0.00290884 t=14785
gao cuo 	搞错	c=0 d=2.91687e-07 t=14785
gao de 	搞得	c=1 d=2.65893e-05 t=14785
gao diao 	高调	c=0 d=1.06752e-05 t=14785
gao ding 	搞定	c=1 d=2.23746e-05 t=14785
gao du 	高度	c=2 d=9.25312e-21 t=14785
gao fei 	高飞	c=2 d=0.546091 t=14785
gao ji xiao 	高绩效	c=2 d=0.0135674 t=14785
gao jian ge 	高建哥	c=1 d=0.00163682 t=14785
gao le 	搞了	c=2 d=9.66485e-07 t=14785
gao neng li 	高能力	c=1 d=0.00759701 t=14785
gao su 	告诉	c=0 d=9.13124e-21 t=14785
gao su ta men 	告诉他们	c=1 d=9.17701e-20 t=14785
gao wan 	搞完	c=0 d=3.19482e-19 t=14785
gao wan le 	搞完了	c=1 d=3.21084e-18 t=14785
gao xiao li yong 	高效利用	c=1 d=1 t=12652
ge 	个	c=17 d=1.25214 t=14785
ge 	各	c=0 d=0.100025 t=13189
ge 	哥	c=1 d=1 t=11209
ge gang wei 	各岗位	c=1 d=1 t=11380
ge ge 	各个	c=7 d=5.03619 t=11623
ge ge jie duan 	各个阶段	c=1 d=1 t=11332
ge ge zu 	个各组	c=1 d=1 t=11595
ge jue se 	各角色	c=3 d=2.93124 t=11412
ge lei 	各类	c=1 d=2.30082e-09 t=14785
ge lei xing 	各类型	c=1 d=1.24092e-10 t=14785
ge ren 	个人	c=4 d=5.07899e-08 t=14785
ge ren le 	个人了	c=1 d=3.80258e-08 t=14785
ge ren zhi ze 	个人职责	c=1 d=1 t=11315
ge san cha wu 	隔三差五	c=1 d=1 t=14362
ge shi 	格式	c=12 d=0.00289448 t=14785
ge shi hua 	格式化	c=3 d=0.00556197 t=14785
ge shu 	个数	c=2 d=0.00070908 t=14785
ge shuang yan pi 	割双眼皮	c=1 d=2.50622e-15 t=14785
ge shui 	个税	c=1 d=0.0129068 t=14785
ge yuan su 	各元素	c=2 d=1.32956 t=13412
ge yue 	个月	c=3 d=1.04432e-08 t=14785
ge zhi 	搁置	c=1 d=1 t=13357
ge zhong 	各种	c=3 d=3.87483e-06 t=14785
ge zi 	各自	c=1 d=6.19837e-21 t=14785
ge zi 	格子	c=1 d=3.43534e-19 t=14785
ge zu 	各组	c=0 d=0.1 t=11594
gei 	给	c=9 d=0.0502899 t=14785
gei bu gei 	给不给	c=1 d=7.81747e-16 t=14785
gei de 	给的	c=0 d=5.62208e-21 t=14785
gei ding 	给定	c=1 d=1 t=14251
gei ni 	给你	c=8 d=0.0132334 t=14785
gei ni men 	给你们	c=2 d=1.74175e-19 t=14785
gei ta men 	给他们	c=1 d=0.000739157 t=14785
gei wo 	给我	c=6 d=0.000394046 t=14785
gei wo da dian hua 	给我打电话	c=0 d=8.6785e-11 t=14785
gei wo da dian hua le 	给我打电话了	c=1 d=2.51143e-10 t=14785
gei wo qu xiao le 	给我取消了	c=1 d=1 t=10231
gen 	跟	c=13 d=0.806541 t=14785
gen ju 	根据	c=8 d=0.718924 t=14785
gen ju zhou qi 	根据周期	c=1 d=1 t=13263
gen ni 	跟你	c=0 d=1.36858e-16 t=14785
gen ni fu mu 	跟你父母	c=1 d=1.37544e-15 t=14785
gen ni shuo 	跟你说	c=0 d=2.39057e-19 t=14785
gen ni shuo ba 	跟你说吧	c=1 d=2.40255e-18 t=14785
gen ta 	跟他	c=1 d=2.26071e-08 t=14785
gen ta men 	跟他们	c=1 d=1 t=13320
gen wo 	跟我	c=2 d=8.96139e-05 t=14785
gen wo shuo 	跟我说	c=2 d=0.00135579 t=14785
gen wo shuo yi xia 	跟我说一下	c=1 d=0.000578542 t=14785
gen zhe 	跟着	c=2 d=0.002138 t=14785
gen zhe qi ta ren 	跟着其他人	c=1 d=4.53999e-05 t=14785
gen zong 	跟踪	c=3 d=0.000206543 t=14785
geng 	更	c=2 d=1.39148e-05 t=14785
geng chang 	更长	c=1 d=1 t=9578
geng duan 	更短	c=1 d=0.181676 t=13506
geng duan de 	更短的	c=1 d=1 t=13507
geng duo 	更多	c=2 d=1 t=14226
geng hao 	更好	c=2 d=1.06621e-11 t=14785
geng hao de 	更好的	c=1 d=5.45221e-12 t=14785
geng huan 	更换	c=3 d=8.9398e-06 t=14785
geng jia 	更加	c=2 d=1 t=13514
geng jiu 	更久	c=1 d=2.43132e-11 t=14785
geng ke kong 	更可控	c=1 d=1 t=13010
geng kuai 	更快	c=0 d=3.94755e-08 t=14785
geng kuai ma 	更快吗	c=1 d=3.96734e-07 t=14785
geng xin 	更新	c=7 d=0.264496 t=14785
geng xin le 	更新了	c=0 d=5.95533e-22 t=14785
geng xin ren 	更新人	c=1 d=1.3408e-09 t=14785
git 	git	c=2 d=2.67488e-17 t=14785
gong 	共	c=0 d=1.85155e-13 t=14785
gong chang 	工厂	c=1 d=1 t=13758
gong cheng 	工程	c=1 d=1 t=10275
gong hao 	工号	c=15 d=0.842289 t=14785
gong ji 	攻击	c=0 d=0.1 t=11060
gong ji jin 	公积金	c=6 d=5.99666e-18 t=14785
gong jiao 	公交	c=2 d=1.03304 t=10336
gong ju 	工具	c=11 d=3.25795e-05 t=14785
gong ju bao 	工具包	c=1 d=1.29156e-10 t=14785
gong ju lei 	工具类	c=1 d=9.42566e-11 t=14785
gong li 	公里	c=7 d=0.0068106 t=14785
gong lu che 	公路车	c=1 d=3.05186e-13 t=14785
gong neng 	功能	c=18 d=0.766391 t=14785
gong neng xu qiu 	功能需求	c=1 d=0.162838 t=14785
gong ping 	公平	c=0 d=0.1 t=13678
gong ping duo 	公平多	c=1 d=1 t=13679
gong ping suo 	公平锁	c=1 d=4.46982e-21 t=14785
gong shi 	公式	c=9 d=2.56731e-08 t=14785
gong shi 	公示	c=1 d=5.49185e-09 t=14785
gong si 	公司	c=24 d=0.241923 t=14785
gong tong shi yong 	共同使用	c=1 d=1 t=13594
gong xiang 	共享	c=1 d=1.29244e-18 t=14785
gong xue yuan 	工学院	c=1 d=1 t=11826
gong yi 	工艺	c=1 d=1 t=14637
gong you 	共有	c=1 d=1 t=10245
gong you duo shao 	共有多少	c=1 d=1.86083e-12 t=14785
gong yuan 	公园	c=1 d=1.40061e-12 t=14785
gong zi 	工资	c=3 d=9.75642e-05 t=14785
gong zi liu 	工资刘	c=1 d=5.22757e-17 t=14785
gong zuo 	工作	c=12 d=0.0131713 t=14785
gong zuo liu 	工作流	c=18 d=3.20032 t=14785
gong zuo mu biao 	工作目标	c=0 d=0.1 t=11304
gong zuo que ding le 	工作确定了	c=1 d=1 t=14379
gong zuo ri 	工作日	c=1 d=2.48601e-08 t=14785
gong zuo zhong 	工作中	c=3 d=2.01711 t=14158
gou 	够	c=1 d=1.15443e-13 t=14785
gou cheng 	构成	c=1 d=1.1804e-10 t=14785
gou jian 	构建	c=1 d=1.86564e-13 t=14785
gou le 	够了	c=1 d=3.68193e-11 t=14785
gou wu 	购物	c=1 d=2.45534e-09 t=14785
gou xuan 	勾选	c=2 d=2.18823e-07 t=14785
gou zao 	构造	c=4 d=0.00229587 t=14785
gou zao fang fa 	构造方法	c=1 d=2.23936e-14 t=14785
gou zao qi 	构造器	c=7 d=0.00040461 t=14785
gu 	股	c=5 d=8.49991e-05 t=14785
gu 	鼓	c=1 d=1.46782e-15 t=14785
gu ding 	固定	c=2 d=6.77397e-07 t=14785
gu ding jia ban 	固定加班	c=1 d=3.23198e-07 t=14785
gu ge 	谷歌	c=2 d=1.98301e-09 t=14785
gu ji 	估计	c=12 d=0.45612 t=14785
gu ji bu chi fan le 	估计不吃饭了	c=1 d=1 t=10628
gu ji hai you 	估计还有	c=1 d=1 t=14460
gu ji ke yi 	估计可以	c=1 d=3.4681e-13 t=14785
gu ji mei shen me 	估计没什么	c=1 d=5.70511e-16 t=14785
gu ji shi 	估计是	c=2 d=2.58565e-18 t=14785
gu ji you 	估计有	c=0 d=0.1 t=11815
gu ji you dian 	估计有点	c=1 d=1 t=11816
gu lao 	古老	c=1 d=1 t=14577
gu piao 	股票	c=2 d=8.93744e-05 t=14785
gu wen 	顾问	c=1 d=0.0100518 t=14785
gua 	挂	c=1 d=4.84346e-09 t=14785
gua ge 	挂个	c=1 d=2.28421e-12 t=14785
gua le 	挂了	c=1 d=1.45346e-17 t=14785
gua zai 	挂在	c=1 d=1.64699e-17 t=14785
gua zai 	挂载	c=8 d=1.07213e-07 t=14785
gua zai hou 	挂在后	c=1 d=4.85826e-08 t=14785
guai 	怪	c=1 d=7.72365e-21 t=14785
guai bu guai 	乖不乖	c=1 d=1 t=10435
guan 	管	c=1 d=1.64956e-06 t=14785
guan 	罐	c=1 d=4.3755e-12 t=14785
guan bi 	关闭	c=7 d=0.62524 t=14785
guan bi fan cha 	关闭反查	c=1 d=1 t=11165
guan bi zai da kai 	关闭再打开	c=1 d=5.32864e-07 t=14785
guan cha 	观察	c=3 d=0.0754734 t=14785
guan ji 	关机	c=1 d=1 t=11122
guan jian shi 	关键是	c=2 d=2.87347e-06 t=14785
guan jian zi 	关键字	c=1 d=7.75311e-08 t=14785
guan li 	管理	c=9 d=0.968885 t=14785
guan li xi tong 	管理系统	c=1 d=1 t=11628
guan li yuan 	管理员	c=1 d=0.0107269 t=14785
guan lian 	关联	c=1 d=1 t=12761
guan pei 	冠帔	c=1 d=2.48813e-18 t=14785
guan pei sheng 	管培生	c=29 d=0.763834 t=14785
guan wang 	官网	c=5 d=4.24612e-11 t=14785
guan wang xia zai 	官网下载	c=1 d=1 t=10351
guan xi 	关系	c=4 d=1.64641 t=14785
guan xi tu 	关系图	c=1 d=3.07697e-17 t=14785
guan xia 	管辖	c=0 d=0.1 t=11704
guan xia dian pu shu 	管辖店铺数	c=1 d=1 t=11705
guan xin 	关心	c=2 d=2.61705e-15 t=14785
guan yin 	观音	c=0 d=0.00232837 t=14785
guan yin shan 	观音山	c=0 d=8.19288e-10 t=14785
guan yin shang 	观音上	c=1 d=0.0234005 t=14785
guan yu 	关于	c=1 d=1 t=10558
guang chang 	广场	c=1 d=1 t=13774
guang ge 	逛个	c=1 d=0.00348252 t=14785
gui 	贵	c=1 d=0.00737248 t=14785
gui bu gui 	贵不贵	c=1 d=8.65611e-09 t=14785
gui ding 	规定	c=2 d=8.445e-05 t=14785
gui fan 	规范	c=3 d=1.20424e-10 t=14785
gui gu 	硅谷	c=0 d=0.1 t=12399
gui mo 	规模	c=1 d=0.0115047 t=14785
gui shu 	归属	c=0 d=4.26965e-19 t=14785
gui shu di 	归属地	c=1 d=4.29105e-18 t=14785
gui ze 	规则	c=4 d=0.000200442 t=14785
gui zi 	柜子	c=1 d=7.9084e-05 t=14785
gun dong tiao 	滚动条	c=3 d=2.45703e-12 t=14785
guo 	国	c=1 d=1 t=13815
guo 	过	c=8 d=0.557162 t=14785
guo chan che 	国产车	c=1 d=8.4876e-13 t=14785
guo cheng 	过程	c=7 d=0.000378646 t=14785
guo duan 	过段	c=1 d=2.85513e-19 t=14785
guo ji 	国际	c=1 d=3.78555e-14 t=14785
guo jia 	国家	c=6 d=3.10473e-05 t=14785
guo lai 	过来	c=6 d=0.211258 t=14785
guo lai chi fan a 	过来吃饭啊	c=1 d=1.74461e-18 t=14785
guo lai le 	过来了	c=0 d=0.1 t=12198
guo lai le ma 	过来了吗	c=1 d=1 t=12199
guo le 	过了	c=1 d=8.11827e-19 t=14785
guo lv 	过滤	c=2 d=0.0311261 t=14785
guo lv diao 	过滤掉	c=0 d=8.40887e-22 t=14785
guo lv diao yi wan cheng 	过滤掉已完成	c=1 d=8.45102e-21 t=14785
guo m 	过没	c=1 d=5.00707e-10 t=14785
guo mao 	国贸	c=1 d=3.80453e-14 t=14785
guo min dang 	国民党	c=1 d=1 t=11082
guo nei 	国内	c=3 d=3.76726e-11 t=14785
guo qi 	国企	c=1 d=3.15165e-05 t=14785
guo qu 	过去	c=6 d=0.226118 t=14785
guo qu le 	过去了	c=0 d=1.52062e-20 t=14785
guo ran 	果然	c=1 d=6.1463e-10 t=14785
guo wai 	国外	c=4 d=1.19755e-17 t=14785
guo wan nian 	过完年	c=1 d=2.08293e-15 t=14785
h 	和	c=1 d=0.0970446 t=14785
ha 	哈	c=2 d=0.183745 t=14776
ha ha 	哈哈	c=4 d=1.17148 t=14785
ha ha ha 	哈哈哈	c=1 d=0.00353515 t=14785
ha o o 	哈哦哦	c=1 d=1 t=14777
hai 	还	c=6 d=3.21586e-07 t=14785
hai ba 	还把	c=1 d=0.000104638 t=14785
hai bu 	还不	c=0 d=2.32355e-08 t=14785
hai bu cuo 	还不错	c=2 d=2.02418 t=14771
hai bu cuo ba 	还不错吧	c=1 d=1 t=14665
hai bu gou 	还不够	c=1 d=1 t=12394
hai bu miao shu 	还不描述	c=1 d=2.3352e-07 t=14785
hai bu shao 	还不少	c=1 d=0.00216573 t=14785
hai cang 	海沧	c=1 d=1 t=14674
hai cha 	还差	c=1 d=2.09736e-08 t=14785
hai de 	还得	c=3 d=4.45481e-07 t=14785
hai hao 	还好	c=1 d=7.25425e-09 t=14785
hai hui 	还会	c=2 d=1.03491 t=10368
hai jia 	还加	c=0 d=0.1 t=11984
hai jia ban 	还加班	c=1 d=1 t=11985
hai ke yi 	还可以	c=6 d=1.1667 t=14785
hai ke yi ba 	还可以吧	c=1 d=1 t=14556
hai ke yi ba 	还可以把	c=1 d=1 t=14555
hai mei 	还没	c=4 d=0.88692 t=14785
hai mei fa gei wo 	还没发给我	c=1 d=2.1188e-10 t=14785
hai mei hao 	还没好	c=1 d=0.000246044 t=14785
hai mei hui qu 	还没回去	c=1 d=2.11003e-20 t=14785
hai sheng 	还剩	c=1 d=5.78739e-08 t=14785
hai shi 	还是	c=37 d=0.975746 t=14785
hai wan 	海湾	c=1 d=1.39239e-12 t=14785
hai xiang 	海翔	c=1 d=1.26336e-15 t=14785
hai xiang 	还想	c=1 d=6.70777e-09 t=14785
hai yao 	还要	c=2 d=1.68317e-08 t=14785
hai yi wei 	还以为	c=0 d=3.93255e-22 t=14785
hai yong 	还用	c=0 d=0.000160441 t=14785
hai you 	还有	c=9 d=0.0202498 t=14785
hai you sha 	还有啥	c=1 d=6.02562e-12 t=14785
hai you shui 	还有谁	c=1 d=7.79331e-09 t=14785
hai zai 	还在	c=4 d=0.161227 t=14785
hai zai chuan 	还在穿	c=1 d=2.45451e-05 t=14785
hai zai mang 	还在忙	c=1 d=0.00814786 t=14785
hai zhen 	还真	c=0 d=0.1 t=11895
hai zhen bu duo 	还真不多	c=1 d=1 t=11896
hai zi 	孩子	c=2 d=5.68738e-12 t=14785
hai zi l 	孩子了	c=1 d=2.77603e-12 t=14785
han feng 	寒风	c=0 d=0.1 t=14657
han guo 	韩国	c=1 d=3.12837e-06 t=14785
han you 	含有	c=1 d=2.00092e-13 t=14785
hang 	行	c=11 d=3.32181e-07 t=14785
hang a 	行啊	c=1 d=1 t=14566
hang jian ju 	行间距	c=1 d=4.99754e-17 t=14785
hang ju 	行距	c=2 d=1.64324e-12 t=14785
hang pai 	航拍	c=0 d=0.1 t=12093
hang pai zhong guo 	航拍中国	c=2 d=1.99501 t=12095
hang shu 	行数	c=2 d=5.1129e-13 t=14785
hao 	号	c=6 d=0.000999652 t=14785
hao 	好	c=41 d=0.247249 t=14785
hao ba 	好吧	c=10 d=0.576802 t=14785
hao che 	豪车	c=1 d=1 t=13647
hao chi 	好吃	c=0 d=0.1 t=14416
hao de 	好的	c=29 d=1.50909 t=14785
hao duo 	好多	c=1 d=4.5864e-07 t=14785
hao hao 	好好	c=1 d=3.27348e-11 t=14785
hao hao xiang shou 	好好享受	c=1 d=1 t=10418
hao hao xue xi 	好好学习	c=1 d=0.000133688 t=14785
hao hen duo 	好很多	c=1 d=4.64607e-12 t=14785
hao ji ci 	好几次	c=1 d=3.39711e-05 t=14785
hao ji ge 	好几个	c=1 d=0.0904326 t=14785
hao ji ge di fang 	好几个地方	c=1 d=0.282239 t=14785
hao kan 	好看	c=1 d=1 t=12666
hao le 	好了	c=7 d=0.904837 t=14785
hao miao 	毫秒	c=2 d=2.05516 t=13526
hao miao shu 	毫秒数	c=1 d=1 t=13482
hao shi 	耗时	c=0 d=0.100099 t=14217
hao shi duan 	耗时短	c=2 d=1.99501 t=12835
hao shuo 	好说	c=0 d=0.0279431 t=14785
hao xiang 	好像	c=3 d=1.19639e-06 t=14785
hao xiang shi de 	好像是的	c=1 d=1 t=12490
hao xiang ye shi 	好像也是	c=1 d=1.11241e-18 t=14785
hao xiang you bu xing le 	好像又不行了	c=1 d=2.93448e-18 t=14785
hao xue xiao 	好学校	c=2 d=4.31615e-12 t=14785
hao yong 	好用	c=1 d=4.17146e-09 t=14785
hao yong de 	号用的	c=1 d=1 t=13611
hao zhang 	好长	c=0 d=9.19138e-10 t=14785
hao zhuan 	好转	c=0 d=8.48616e-12 t=14785
hao zuo 	好做	c=0 d=6.31606e-08 t=14785
hao zuo ma 	好做吗	c=1 d=6.34772e-07 t=14785
he 	何	c=2 d=0.0185865 t=14785
he 	和	c=65 d=1.39983 t=14785
he 	喝	c=4 d=8.86175e-10 t=14785
he 	核	c=2 d=1.94176 t=12527
he bie de 	和别的	c=1 d=0.000164106 t=14785
he bing 	合并	c=2 d=2.04264e-10 t=14785
he dao 	喝到	c=1 d=4.05934e-12 t=14785
he de 	喝的	c=1 d=4.34127e-12 t=14785
he de duo dian 	喝的多点	c=1 d=4.0391e-12 t=14785
he huo ren 	合伙人	c=1 d=0.00323088 t=14785
he li 	合理	c=0 d=0.0343009 t=14785
he shi 	合适	c=3 d=1.0013 t=13227
he shi de 	合适的	c=1 d=1 t=10645
he shu 	核数	c=4 d=2.85888 t=14208
he wo men 	和我们	c=1 d=0.00013845 t=14785
he yi qun 	和一群	c=1 d=1 t=13817
he yong hu 	和用户	c=1 d=1 t=12768
he yong hu xian cheng 	和用户线程	c=1 d=1 t=12813
he zhi 	何止	c=1 d=1.30476e-12 t=14785
he zhuang 	盒装	c=2 d=1.19249e-17 t=14785
he zhuang wei xin 	盒装微信	c=2 d=1.16993e-17 t=14785
he zu 	合租	c=1 d=0.000159256 t=14785
hei 	黑	c=2 d=0.00100779 t=14785
hei ke 	黑客	c=1 d=9.40453e-14 t=14785
hei long jiang 	黑龙江	c=1 d=1 t=14588
hei ping 	黑屏	c=0 d=1.1126e-21 t=14785
hei se 	黑色	c=2 d=0.00733572 t=14785
hei ye 	黑夜	c=1 d=1 t=14659
hen 	很	c=2 d=2.73868e-07 t=14785
hen bai 	很白	c=1 d=0.0963276 t=14785
hen da 	很大	c=5 d=0.159615 t=14785
hen duo 	很多	c=6 d=0.20509 t=14785
hen duo dou shi 	很多都是	c=1 d=2.10859e-12 t=14785
hen duo hen duo 	很多很多	c=1 d=2.69261e-06 t=14785
hen feng fu 	很丰富	c=1 d=1 t=9638
hen gao 	很高	c=1 d=3.93255e-21 t=14785
hen kuai 	很快	c=2 d=5.96969e-12 t=14785
hen man 	很慢	c=3 d=6.09985e-09 t=14785
hen shao 	很少	c=2 d=2.74079e-06 t=14785
hen shu fu 	很舒服	c=1 d=0.0657047 t=14785
hen wan shan 	很完善	c=1 d=4.25573e-09 t=14785
hen zao 	很早	c=1 d=1 t=14598
hen zhong yao 	很重要	c=1 d=1 t=11059
heng kua 	横跨	c=1 d=2.91132e-13 t=14785
heng xian 	横线	c=1 d=6.44585e-11 t=14785
heng zhe 	横着	c=1 d=1 t=10666
hong 	红	c=3 d=0.00198559 t=14785
hong bao 	红包	c=1 d=1.21007e-08 t=14785
hong fa 	宏发	c=1 d=1 t=11632
hong guan 	宏观	c=0 d=0.1 t=13024
hong guan shang 	宏观上	c=1 d=1 t=13025
hong hei shu 	红黑树	c=8 d=2.79668 t=13425
hong lv deng 	红绿灯	c=1 d=3.06059e-13 t=14785
hong lv lan 	红绿蓝	c=1 d=2.58747e-08 t=14785
hou 	后	c=13 d=0.331826 t=14785
hou bei 	后被	c=1 d=1 t=12750
hou bian 	后边	c=1 d=1 t=10782
hou duan 	后端	c=11 d=0.828967 t=14785
hou hui 	后悔	c=0 d=0.1 t=11899
hou lai 	后来	c=3 d=1.0031e-07 t=14785
hou liang ge 	后两个	c=1 d=1 t=9494
hou men 	后门	c=1 d=1.66728e-14 t=14785
hou mian 	后面	c=9 d=0.0692903 t=14785
hou mian you wen ti 	后面有问题	c=1 d=0.000383949 t=14785
hou tai 	后台	c=5 d=0.000100535 t=14785
hou xuan zi 	候选字	c=1 d=1.61883e-20 t=14785
hou zhui 	后缀	c=1 d=1.05252e-14 t=14785
hu 	户	c=1 d=0.00358858 t=14785
